,stations_id,stationshoehe,geogr_breite,geogr_laenge,von_datum,bis_datum,stationsname
3041,5133,295.0,51.3345,8.9082,1931-01-01 00:00:00+00:00,1946-07-15 00:00:00+02:00,Twistetal-Mühlhausen
3042,5133,290.0,51.3363,8.9053,1946-07-16 00:00:00+02:00,1988-12-31 00:00:00+01:00,Twistetal-Mühlhausen
3043,5133,306.0,51.3333,8.9007,1989-01-01 00:00:00+01:00,1998-05-31 00:00:00+02:00,Twistetal-Mühlhausen
3044,5133,295.0,51.3344,8.9132,1998-06-01 00:00:00+02:00,,Twistetal-Mühlhausen
3045,2654,200.0,49.0265,8.7554,1947-08-01 00:00:00+01:00,1983-10-27 00:00:00+01:00,Knittlingen
3046,5142,2.0,53.7167,14.05,1890-06-01 00:00:00+00:18,1946-10-04 00:00:00+02:00,Ueckermünde
3047,5142,2.0,53.7167,14.05,1946-10-05 00:00:00+02:00,1947-04-12 00:00:00+01:00,Ueckermünde
3048,5142,1.0,53.7446,14.072,1947-04-13 00:00:00+01:00,2006-04-26 00:00:00+02:00,Ueckermünde
3049,5142,1.2,53.7444,14.0697,2006-04-27 00:00:00+02:00,2011-09-03 00:00:00+02:00,Ueckermünde
3050,5142,1.2,53.7445,14.0698,2011-09-04 00:00:00+02:00,,Ueckermünde
3051,2023,457.0,48.7848,10.7023,1974-10-09 00:00:00+01:00,2002-11-12 00:00:00+01:00,Harburg
3052,2023,501.26,48.7918,10.7062,2002-11-13 00:00:00+01:00,2015-07-13 00:00:00+02:00,Harburg
3053,2023,501.26,48.7918,10.7062,2015-07-14 00:00:00+02:00,,Harburg
3054,1886,440.0,48.45,10.28,1921-09-01 00:00:00+01:00,1999-03-31 00:00:00+02:00,Günzburg
3055,1886,443.5,48.4878,10.2608,1999-04-01 00:00:00+02:00,,Günzburg
3056,222,355.0,50.5868,12.7032,1875-12-01 00:00:00+00:18,1922-06-30 00:00:00+01:00,Aue
3057,222,349.0,50.5888,12.7056,1922-07-01 00:00:00+01:00,1955-09-30 00:00:00+01:00,Aue
3058,222,440.0,50.5859,12.6656,1955-10-01 00:00:00+01:00,1972-06-30 00:00:00+01:00,Aue
3059,222,391.0,50.5904,12.7136,1975-08-01 00:00:00+01:00,2008-07-31 00:00:00+02:00,Aue
3060,222,393.0,50.5908,12.7139,2008-08-01 00:00:00+02:00,,Aue
3061,273,467.0,47.8413,9.6606,1986-12-01 00:00:00+01:00,1990-04-30 00:00:00+02:00,Baindt
3062,3821,262.0,51.077,11.9385,1901-08-01 00:00:00+00:18,1999-11-30 00:00:00+01:00,Osterfeld
3063,3821,246.0,51.0873,11.9293,1999-12-01 00:00:00+01:00,,Osterfeld
3064,402,55.0,52.4564,13.2997,1876-01-01 00:00:00+00:18,1963-03-31 00:00:00+01:00,Berlin-Dahlem (LFAG)
3065,13700,203.0,51.3329,7.3412,2007-08-01 00:00:00+02:00,,Gevelsberg-Oberbröking
3066,3534,583.5,49.2713,11.4881,1981-03-01 00:00:00+01:00,,Neumarkt-Höhenberg
3067,2444,155.0,50.9255,11.5828,1813-10-11 00:00:00+00:18,2004-07-31 00:00:00+02:00,Jena (Sternwarte)
3068,2444,155.0,50.9251,11.583,2004-08-01 00:00:00+02:00,,Jena (Sternwarte)
3069,4280,385.0,49.2167,11.1,1940-02-01 00:00:00+00:00,1960-10-25 00:00:00+01:00,Roth
